punct_id,time_id ,airline_id,airport_id ,ratings_id,area_id,num_of_flights,num_of_flights_cancelled,avg_early_on_time_flights,avg_cancelled_flights,total_minutes_delayed,min_delays_minutes,max_delays_minutes,avg_delays_minutes
AP3859,202307,AL071,IOM,RT04,IM01,10,0,0.00,0.00,50.00,50.00,50.00,50.00
AP3860,202307,AL118,IOM,RT04,IM01,272,22,14.69,4.78,236.85,30.84,73.17,47.37
AP3861,202307,AL124,IOM,RT04,IM01,78,10,4.55,11.36,47.27,47.27,47.27,47.27
AP3862,202307,AL125,IOM,RT04,IM01,54,0,16.67,0.00,24.65,24.65,24.65,24.65
AP3863,202307,AL203,IOM,RT04,IM01,421,11,23.44,2.08,108.42,0.00,25.48,15.49
AP3864,202307,AL242,IOM,RT03,IM01,1,0,0.00,0.00,13.00,13.00,13.00,13.00
AP3865,202307,AL008,JER,RT04,CI01,18,0,0.00,0.00,40.17,40.17,40.17,40.17
AP3866,202307,AL020,JER,RT03,CI01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3867,202307,AL030,JER,RT04,CI01,10,0,10.00,0.00,23.20,23.20,23.20,23.20
AP3868,202307,AL064,JER,RT04,CI01,2,0,0.00,0.00,97.00,26.00,71.00,48.50
AP3869,202307,AL071,JER,RT03,CI01,48,0,38.00,0.00,67.00,0.00,27.40,13.40
AP3870,202307,AL079,JER,RT04,CI01,779,4,26.39,0.15,347.80,0.00,38.95,17.39
AP3871,202307,AL083,JER,RT03,CI01,255,5,16.35,0.96,15.73,0.00,15.73,7.87
AP3872,202307,AL115,JER,RT03,CI01,20,0,40.00,0.00,22.10,10.20,11.90,11.05
AP3873,202307,AL116,JER,RT03,CI01,18,0,55.56,0.00,9.33,9.33,9.33,9.33
AP3874,202307,AL118,JER,RT04,CI01,623,12,22.84,2.30,172.90,16.56,33.18,24.70
AP3875,202307,AL125,JER,RT03,CI01,18,0,38.89,0.00,8.89,8.89,8.89,8.89
AP3876,202307,AL133,JER,RT03,CI01,8,0,25.00,0.00,3.50,3.50,3.50,3.50
AP3877,202307,AL135,JER,RT03,CI01,10,0,30.00,0.00,10.00,0.00,10.00,5.00
AP3878,202307,AL183,JER,RT04,CI01,56,0,18.92,0.00,117.20,0.00,48.40,23.44
AP3879,202307,AL206,JER,RT03,CI01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3880,202307,AL270,JER,RT03,CI01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3881,202307,AL290,JER,RT03,CI01,2,0,50.00,0.00,12.50,12.50,12.50,12.50
AP3882,202307,AL320,JER,RT03,CI01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3883,202307,AL008,LBA,RT03,YH02,288,2,28.88,0.86,29.27,8.68,20.59,14.64
AP3884,202307,AL039,LBA,RT03,YH02,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3885,202307,AL040,LBA,RT04,YH02,3,0,0.00,0.00,75.67,0.00,75.67,37.83
AP3886,202307,AL064,LBA,RT04,YH02,18,0,22.22,0.00,17.56,17.56,17.56,17.56
AP3887,202307,AL076,LBA,RT04,YH02,10,0,0.00,0.00,45.80,0.00,45.80,22.90
AP3888,202307,AL118,LBA,RT04,YH02,26,0,11.54,0.00,30.50,30.50,30.50,30.50
AP3889,202307,AL149,LBA,RT03,YH02,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3890,202307,AL152,LBA,RT04,YH02,36,0,5.56,0.00,33.61,12.72,20.89,16.81
AP3891,202307,AL183,LBA,RT04,YH02,1677,7,23.87,1.16,794.66,0.00,48.50,16.91
AP3892,202307,AL194,LBA,RT04,YH02,161,2,25.15,1.23,17.74,17.74,17.74,17.74
AP3893,202307,AL202,LBA,RT03,YH02,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3894,202307,AL248,LBA,RT04,YH02,904,1,22.23,0.22,558.73,0.00,71.89,22.35
AP3895,202307,AL257,LBA,RT03,YH02,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3896,202307,AL296,LBA,RT04,YH02,41,1,18.27,4.17,66.51,21.88,22.63,22.17
AP3897,202307,AL326,LBA,RT04,YH02,100,4,32.40,4.44,109.56,10.62,39.12,21.91
AP3898,202307,AL327,LBA,RT04,YH02,54,8,3.85,14.32,100.51,36.25,64.26,50.26
AP3899,202307,AL001,LPL,RT03,NW01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3900,202307,AL002,LPL,RT04,NW01,3,0,0.00,0.00,48.50,0.00,42.50,16.17
AP3901,202307,AL008,LPL,RT04,NW01,94,2,10.42,2.08,34.23,34.23,34.23,34.23
AP3902,202307,AL010,LPL,RT03,NW01,4,0,0.00,0.00,39.00,0.00,26.50,9.75
AP3903,202307,AL034,LPL,RT04,NW01,2,0,0.00,0.00,31.50,0.00,31.50,15.75
AP3904,202307,AL039,LPL,RT03,NW01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3905,202307,AL040,LPL,RT04,NW01,7,2,0.00,22.22,109.14,109.14,109.14,109.14
AP3906,202307,AL078,LPL,RT03,NW01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3907,202307,AL115,LPL,RT03,NW01,3,0,33.33,0.00,43.00,0.00,28.00,14.33
AP3908,202307,AL118,LPL,RT04,NW01,1471,32,19.58,6.39,827.05,0.00,145.00,25.85
AP3909,202307,AL127,LPL,RT03,NW01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3910,202307,AL173,LPL,RT03,NW01,1,0,0.00,0.00,11.00,0.00,11.00,5.50
AP3911,202307,AL203,LPL,RT03,NW01,148,0,18.48,0.00,43.57,0.00,22.00,8.71
AP3912,202307,AL206,LPL,RT04,NW01,52,0,3.85,0.00,20.08,20.08,20.08,20.08
AP3913,202307,AL229,LPL,RT03,NW01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3914,202307,AL248,LPL,RT03,NW01,1129,3,23.94,2.85,361.96,0.00,27.67,9.28
AP3915,202307,AL249,LPL,RT03,NW01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3916,202307,AL277,LPL,RT03,NW01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3917,202307,AL290,LPL,RT04,NW01,1,0,0.00,0.00,102.00,0.00,102.00,20.40
AP3918,202307,AL304,LPL,RT03,NW01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3919,202307,AL326,LPL,RT04,NW01,100,0,27.09,0.00,206.47,0.00,73.22,20.65
AP3920,202307,AL327,LPL,RT04,NW01,63,2,6.75,2.38,339.77,73.05,143.00,113.26
AP3921,202307,AL328,LPL,RT03,NW01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3922,202307,AL001,LCY,RT03,SE03,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3923,202307,AL071,LCY,RT04,SE03,2689,74,15.90,4.59,598.62,0.00,154.00,18.14
AP3924,202307,AL194,LCY,RT04,SE03,326,22,34.20,6.32,11.31,11.31,11.31,11.31
AP3925,202307,AL203,LCY,RT03,SE03,67,3,17.14,2.14,12.87,0.00,12.87,6.43
AP3926,202307,AL205,LCY,RT04,SE03,50,0,20.00,0.00,24.26,24.26,24.26,24.26
AP3927,202307,AL206,LCY,RT03,SE03,162,4,28.92,2.41,9.14,9.14,9.14,9.14
AP3928,202307,AL208,LCY,RT03,SE03,316,7,34.95,1.21,11.72,3.68,8.05,5.86
AP3929,202307,AL271,LCY,RT02,SE03,10,0,80.00,0.00,0.80,0.80,0.80,0.80
AP3930,202307,AL279,LCY,RT04,SE03,282,4,9.94,0.85,48.26,23.95,24.31,24.13
AP3931,202307,AL078,LTN,RT03,SE04,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3932,202307,AL083,LTN,RT03,SE04,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3933,202307,AL116,LTN,RT04,SE04,124,11,7.00,24.32,321.52,0.00,176.50,64.30
AP3934,202307,AL118,LTN,RT04,SE04,4186,51,16.15,1.46,1879.21,0.00,71.50,27.23
AP3935,202307,AL122,LTN,RT04,SE04,96,0,12.50,0.00,26.92,26.92,26.92,26.92
AP3936,202307,AL146,LTN,RT04,SE04,56,10,3.03,15.15,115.52,115.52,115.52,115.52
AP3937,202307,AL248,LTN,RT04,SE04,1253,0,22.75,0.00,598.94,0.00,45.41,19.32
AP3938,202307,AL251,LTN,RT03,SE04,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3939,202307,AL274,LTN,RT04,SE04,61,0,3.79,0.00,129.79,0.00,51.33,32.45
AP3940,202307,AL290,LTN,RT03,SE04,1,0,0.00,0.00,3.00,3.00,3.00,3.00
AP3941,202307,AL292,LTN,RT03,SE04,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3942,202307,AL296,LTN,RT04,SE04,133,0,3.20,0.00,275.27,8.00,53.41,30.59
AP3943,202307,AL326,LTN,RT04,SE04,2013,24,18.77,1.01,670.06,0.00,56.50,31.91
AP3944,202307,AL328,LTN,RT04,SE04,1555,3,12.34,0.05,1625.13,0.00,113.73,28.02
AP3945,202307,AL001,MAN,RT03,NW02,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3946,202307,AL007,MAN,RT04,NW02,43,0,9.52,0.00,86.71,24.71,35.00,28.90
AP3947,202307,AL008,MAN,RT04,NW02,683,19,19.11,2.96,83.85,10.65,33.38,20.96
AP3948,202307,AL009,MAN,RT03,NW02,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3949,202307,AL024,MAN,RT03,NW02,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3950,202307,AL027,MAN,RT04,NW02,41,6,6.38,12.77,46.73,46.73,46.73,46.73
AP3951,202307,AL032,MAN,RT04,NW02,220,0,21.36,0.00,16.69,16.69,16.69,16.69
AP3952,202307,AL040,MAN,RT04,NW02,3,0,0.00,0.00,134.33,134.33,134.33,134.33
AP3953,202307,AL042,MAN,RT04,NW02,133,2,11.11,1.48,21.89,21.89,21.89,21.89
AP3954,202307,AL044,MAN,RT04,NW02,52,0,15.38,0.00,27.60,27.60,27.60,27.60
AP3955,202307,AL063,MAN,RT04,NW02,1,0,0.00,0.00,142.00,0.00,142.00,71.00
AP3956,202307,AL064,MAN,RT04,NW02,80,0,15.00,0.00,40.65,40.65,40.65,40.65
AP3957,202307,AL065,MAN,RT03,NW02,36,0,19.44,0.00,14.53,14.53,14.53,14.53
AP3958,202307,AL076,MAN,RT03,NW02,10,0,30.00,0.00,9.10,9.10,9.10,9.10
AP3959,202307,AL077,MAN,RT04,NW02,26,0,11.54,0.00,46.88,46.88,46.88,46.88
AP3960,202307,AL079,MAN,RT03,NW02,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3961,202307,AL083,MAN,RT03,NW02,294,8,4.73,0.53,41.20,0.00,21.20,8.24
AP3962,202307,AL084,MAN,RT03,NW02,105,0,3.81,0.00,25.43,0.00,25.43,12.71
AP3963,202307,AL087,MAN,RT03,NW02,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3964,202307,AL088,MAN,RT04,NW02,36,0,8.33,0.00,21.86,21.86,21.86,21.86
AP3965,202307,AL100,MAN,RT03,NW02,53,0,2.78,0.00,47.91,0.00,28.74,11.98
AP3966,202307,AL101,MAN,RT03,NW02,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3967,202307,AL115,MAN,RT03,NW02,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3968,202307,AL116,MAN,RT04,NW02,257,12,24.45,6.95,678.59,0.00,407.00,61.69
AP3969,202307,AL117,MAN,RT04,NW02,2,0,0.00,0.00,175.50,175.50,175.50,175.50
AP3970,202307,AL118,MAN,RT04,NW02,3294,82,14.27,1.74,2077.76,0.00,90.00,28.08
AP3971,202307,AL121,MAN,RT04,NW02,24,0,8.33,0.00,49.46,49.46,49.46,49.46
AP3972,202307,AL126,MAN,RT04,NW02,186,1,16.04,0.53,22.29,22.29,22.29,22.29
AP3973,202307,AL127,MAN,RT03,NW02,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3974,202307,AL129,MAN,RT04,NW02,46,0,8.70,0.00,30.17,30.17,30.17,30.17
AP3975,202307,AL130,MAN,RT04,NW02,62,0,29.03,0.00,16.29,16.29,16.29,16.29
AP3976,202307,AL135,MAN,RT04,NW02,92,2,9.57,2.13,25.50,25.50,25.50,25.50
AP3977,202307,AL142,MAN,RT04,NW02,66,0,21.21,0.00,16.71,16.71,16.71,16.71
AP3978,202307,AL149,MAN,RT03,NW02,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3979,202307,AL152,MAN,RT04,NW02,17,0,7.87,0.00,107.32,0.00,90.44,35.77
AP3980,202307,AL160,MAN,RT04,NW02,36,0,11.11,0.00,30.61,30.61,30.61,30.61
AP3981,202307,AL162,MAN,RT04,NW02,36,0,47.22,0.00,54.28,54.28,54.28,54.28
AP3982,202307,AL172,MAN,RT03,NW02,23,0,34.78,0.00,4.39,4.39,4.39,4.39
AP3983,202307,AL173,MAN,RT04,NW02,35,0,25.71,0.00,24.09,24.09,24.09,24.09
AP3984,202307,AL183,MAN,RT04,NW02,2855,8,6.62,0.31,1893.56,0.00,77.42,33.22
AP3985,202307,AL194,MAN,RT04,NW02,327,14,16.13,4.11,16.35,16.35,16.35,16.35
AP3986,202307,AL197,MAN,RT04,NW02,26,0,11.54,0.00,57.00,57.00,57.00,57.00
AP3987,202307,AL203,MAN,RT04,NW02,436,22,33.38,4.96,145.17,0.00,48.66,20.74
AP3988,202307,AL206,MAN,RT04,NW02,341,9,6.05,2.53,67.02,22.71,44.32,33.51
AP3989,202307,AL224,MAN,RT04,NW02,18,0,5.56,0.00,21.83,21.83,21.83,21.83
AP3990,202307,AL225,MAN,RT04,NW02,18,0,0.00,0.00,27.17,27.17,27.17,27.17
AP3991,202307,AL229,MAN,RT03,NW02,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP3992,202307,AL234,MAN,RT04,NW02,187,0,3.17,0.00,128.11,36.23,54.19,42.70
AP3993,202307,AL241,MAN,RT03,NW02,161,0,10.63,0.00,21.33,4.00,17.33,10.67
AP3994,202307,AL248,MAN,RT04,NW02,3299,7,16.20,0.30,2231.93,0.00,88.31,29.37
AP3995,202307,AL250,MAN,RT04,NW02,729,4,11.58,0.47,1183.28,0.00,106.00,21.13
AP3996,202307,AL251,MAN,RT04,NW02,238,14,19.02,4.92,71.20,21.49,25.82,23.73
AP3997,202307,AL253,MAN,RT04,NW02,46,0,21.74,0.00,33.22,33.22,33.22,33.22
AP3998,202307,AL259,MAN,RT03,NW02,70,0,14.96,0.00,27.69,0.00,16.60,9.23
AP3999,202307,AL271,MAN,RT04,NW02,0,1,0.00,100.00,0.00,0.00,0.00,0.00
AP4000,202307,AL274,MAN,RT04,NW02,204,0,10.16,0.00,98.36,26.84,39.64,32.79
AP4001,202307,AL279,MAN,RT04,NW02,114,0,4.39,0.00,28.75,28.75,28.75,28.75
AP4002,202307,AL287,MAN,RT03,NW02,186,0,2.51,0.00,35.88,0.00,35.88,11.96
AP4003,202307,AL290,MAN,RT03,NW02,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4004,202307,AL296,MAN,RT04,NW02,1817,0,5.81,0.00,2849.86,0.00,117.09,45.24
AP4005,202307,AL298,MAN,RT04,NW02,1,0,0.00,0.00,100.00,0.00,100.00,50.00
AP4006,202307,AL312,MAN,RT04,NW02,230,0,17.65,0.00,61.58,0.00,24.37,15.39
AP4007,202307,AL318,MAN,RT04,NW02,85,2,21.84,2.30,26.47,26.47,26.47,26.47
AP4008,202307,AL002,NCL,RT03,NE01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4009,202307,AL007,NCL,RT04,NE01,18,0,0.00,0.00,50.50,50.50,50.50,50.50
AP4010,202307,AL008,NCL,RT04,NE01,122,2,32.26,1.61,35.22,14.92,20.31,17.61
AP4011,202307,AL032,NCL,RT04,NE01,79,0,12.66,0.00,18.95,18.95,18.95,18.95
AP4012,202307,AL034,NCL,RT03,NE01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4013,202307,AL040,NCL,RT04,NE01,1,0,0.00,0.00,81.00,0.00,81.00,40.50
AP4014,202307,AL076,NCL,RT03,NE01,12,0,25.00,0.00,9.83,9.83,9.83,9.83
AP4015,202307,AL083,NCL,RT04,NE01,250,4,13.11,0.82,36.83,17.20,19.63,18.41
AP4016,202307,AL100,NCL,RT04,NE01,36,0,2.78,0.00,51.61,23.56,28.06,25.81
AP4017,202307,AL102,NCL,RT04,NE01,1,0,0.00,0.00,32.00,32.00,32.00,32.00
AP4018,202307,AL115,NCL,RT03,NE01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4019,202307,AL118,NCL,RT04,NE01,250,6,21.41,1.89,97.28,23.17,42.68,32.43
AP4020,202307,AL126,NCL,RT03,NE01,62,0,24.19,0.00,14.21,14.21,14.21,14.21
AP4021,202307,AL135,NCL,RT03,NE01,26,0,11.54,0.00,12.15,12.15,12.15,12.15
AP4022,202307,AL152,NCL,RT04,NE01,42,0,1.47,0.00,57.63,19.00,38.63,28.81
AP4023,202307,AL183,NCL,RT04,NE01,1023,0,20.34,0.00,615.87,2.65,89.90,18.66
AP4024,202307,AL194,NCL,RT04,NE01,210,4,13.55,1.87,15.58,15.58,15.58,15.58
AP4025,202307,AL203,NCL,RT04,NE01,338,8,24.96,2.15,109.70,12.33,33.50,18.28
AP4026,202307,AL206,NCL,RT04,NE01,56,0,5.36,0.00,19.34,19.34,19.34,19.34
AP4027,202307,AL248,NCL,RT04,NE01,602,2,19.70,4.55,533.52,0.00,59.00,24.25
AP4028,202307,AL274,NCL,RT04,NE01,26,0,0.00,0.00,33.38,33.38,33.38,33.38
AP4029,202307,AL287,NCL,RT03,NE01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4030,202307,AL290,NCL,RT03,NE01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4031,202307,AL296,NCL,RT04,NE01,562,0,9.77,0.00,791.51,0.00,60.50,26.38
AP4032,202307,AL318,NCL,RT03,NE01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4033,202307,AL008,SOU,RT04,SE06,224,2,16.95,0.88,49.29,16.02,33.27,24.64
AP4034,202307,AL020,SOU,RT03,SE06,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4035,202307,AL064,SOU,RT03,SE06,205,8,30.67,1.86,26.15,0.00,21.78,8.72
AP4036,202307,AL066,SOU,RT03,SE06,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4037,202307,AL071,SOU,RT04,SE06,103,0,17.80,0.00,184.14,0.00,33.72,16.74
AP4038,202307,AL079,SOU,RT04,SE06,350,11,30.40,3.29,50.64,21.01,29.63,25.32
AP4039,202307,AL083,SOU,RT04,SE06,0,3,0.00,100.00,0.00,0.00,0.00,0.00
AP4040,202307,AL087,SOU,RT03,SE06,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4041,202307,AL115,SOU,RT03,SE06,62,0,6.05,0.00,57.24,0.00,57.24,14.31
AP4042,202307,AL149,SOU,RT03,SE06,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4043,202307,AL156,SOU,RT03,SE06,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4044,202307,AL193,SOU,RT03,SE06,2,0,0.00,0.00,34.00,0.00,34.00,8.50
AP4045,202307,AL195,SOU,RT04,SE06,109,4,21.24,3.54,17.63,17.63,17.63,17.63
AP4046,202307,AL203,SOU,RT04,SE06,575,22,24.80,2.15,102.69,11.63,26.29,20.54
AP4047,202307,AL078,SEN,RT03,SE07,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4048,202307,AL116,SEN,RT04,SE07,108,10,18.21,12.50,55.64,2.52,26.12,13.91
AP4049,202307,AL261,SEN,RT03,SE07,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4050,202307,AL324,SEN,RT03,SE07,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4051,202307,AL017,STN,RT04,SE05,30,0,3.33,0.00,32.17,32.17,32.17,32.17
AP4052,202307,AL018,STN,RT03,SE05,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4053,202307,AL331,STN,RT03,SE05,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4054,202307,AL034,STN,RT03,SE05,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4055,202307,AL038,STN,RT03,SE05,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4056,202307,AL040,STN,RT04,SE05,3,1,0.00,50.00,162.33,0.00,162.33,81.17
AP4057,202307,AL052,STN,RT03,SE05,36,0,36.11,0.00,3.69,3.69,3.69,3.69
AP4058,202307,AL071,STN,RT03,SE05,12,0,5.00,0.00,20.50,0.00,18.00,2.56
AP4059,202307,AL100,STN,RT03,SE05,16,0,0.00,0.00,15.00,0.00,15.00,7.50
AP4060,202307,AL116,STN,RT04,SE05,58,4,32.26,6.45,18.69,18.69,18.69,18.69
AP4061,202307,AL118,STN,RT04,SE05,518,6,23.02,0.92,75.46,0.00,34.12,18.86
AP4062,202307,AL126,STN,RT03,SE05,126,0,35.71,0.00,14.47,14.47,14.47,14.47
AP4063,202307,AL127,STN,RT03,SE05,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4064,202307,AL147,STN,RT03,SE05,62,0,46.77,0.00,9.60,9.60,9.60,9.60
AP4065,202307,AL168,STN,RT04,SE05,8,0,12.50,0.00,67.13,67.13,67.13,67.13
AP4066,202307,AL173,STN,RT03,SE05,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4067,202307,AL183,STN,RT04,SE05,1964,1,16.60,0.03,1023.52,0.00,46.00,23.26
AP4068,202307,AL194,STN,RT03,SE05,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4069,202307,AL203,STN,RT03,SE05,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4070,202307,AL208,STN,RT03,SE05,1,0,0.00,0.00,10.00,10.00,10.00,10.00
AP4071,202307,AL217,STN,RT03,SE05,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4072,202307,AL234,STN,RT04,SE05,458,0,11.21,0.00,116.22,11.06,40.84,23.24
AP4073,202307,AL248,STN,RT04,SE05,11288,58,18.88,0.51,3665.11,0.00,65.88,24.27
AP4074,202307,AL250,STN,RT04,SE05,1073,0,20.26,0.00,1420.38,0.00,89.63,24.92
AP4075,202307,AL271,STN,RT04,SE05,2,0,50.00,0.00,33.00,33.00,33.00,33.00
AP4076,202307,AL279,STN,RT03,SE05,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4077,202307,AL287,STN,RT04,SE05,234,2,3.77,0.31,85.32,0.00,33.15,21.33
AP4078,202307,AL290,STN,RT04,SE05,4,0,13.33,0.00,100.33,0.00,65.00,20.07
AP4079,202307,AL296,STN,RT04,SE05,253,0,7.72,0.00,386.61,0.00,39.72,21.48
AP4080,202307,AL301,STN,RT03,SE05,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4081,202307,AL302,STN,RT04,SE05,8,0,0.00,0.00,23.38,23.38,23.38,23.38
AP4082,202307,AL318,STN,RT03,SE05,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4083,202307,AL324,STN,RT04,SE05,16,2,11.11,11.11,24.63,24.63,24.63,24.63
AP4084,202307,AL328,STN,RT03,SE05,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4085,202307,AL039,MME,RT03,NE02,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4086,202307,AL076,MME,RT04,NE02,13,0,23.08,0.00,16.15,16.15,16.15,16.15
AP4087,202307,AL115,MME,RT03,NE02,10,0,10.00,0.00,10.30,0.00,10.30,5.15
AP4088,202307,AL127,MME,RT04,NE02,1,0,0.00,0.00,192.00,0.00,192.00,96.00
AP4089,202307,AL152,MME,RT04,NE02,8,0,12.50,0.00,24.25,24.25,24.25,24.25
AP4090,202307,AL187,MME,RT03,NE02,2,0,0.00,0.00,15.00,15.00,15.00,15.00
AP4091,202307,AL194,MME,RT03,NE02,101,2,26.21,1.94,9.99,9.99,9.99,9.99
AP4092,202307,AL203,MME,RT03,NE02,45,7,7.05,2.24,22.82,0.00,22.82,3.80
AP4093,202307,AL248,MME,RT03,NE02,64,0,24.72,0.00,56.18,7.67,22.39,14.04
AP4094,202307,AL251,MME,RT04,NE02,1,0,0.00,0.00,35.00,35.00,35.00,35.00
AP4095,202307,AL290,MME,RT03,NE02,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4096,202307,AL296,MME,RT03,NE02,18,0,38.89,0.00,6.61,6.61,6.61,6.61
AP4097,202307,AL330,MME,RT04,NE02,2,0,0.00,0.00,20.00,20.00,20.00,20.00
AP4098,202308,AL008,ABZ,RT04,SC01,60,2,19.35,3.23,26.82,26.82,26.82,26.82
AP4099,202308,AL024,ABZ,RT03,SC01,18,0,38.89,0.00,3.94,3.94,3.94,3.94
AP4100,202308,AL076,ABZ,RT03,SC01,8,0,37.50,0.00,13.00,13.00,13.00,13.00
AP4101,202308,AL083,ABZ,RT04,SC01,293,21,29.62,6.69,20.53,20.53,20.53,20.53
AP4102,202308,AL087,ABZ,RT02,SC01,2,0,50.00,0.00,0.00,0.00,0.00,0.00
AP4103,202308,AL115,ABZ,RT03,SC01,150,4,20.44,1.54,35.85,0.00,21.28,8.96
AP4104,202308,AL118,ABZ,RT04,SC01,192,4,16.13,1.55,59.13,0.00,33.15,19.71
AP4105,202308,AL194,ABZ,RT03,SC01,87,4,38.46,4.40,9.92,9.92,9.92,9.92
AP4106,202308,AL195,ABZ,RT03,SC01,157,0,40.76,0.00,7.00,7.00,7.00,7.00
AP4107,202308,AL203,ABZ,RT04,SC01,1101,33,24.16,2.27,360.41,0.00,50.13,21.20
AP4108,202308,AL229,ABZ,RT03,SC01,1,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4109,202308,AL248,ABZ,RT04,SC01,54,0,29.63,0.00,49.39,3.56,33.06,16.46
AP4110,202308,AL251,ABZ,RT04,SC01,115,8,25.11,9.02,26.70,9.98,16.72,13.35
AP4111,202308,AL296,ABZ,RT04,SC01,77,0,25.58,0.00,329.50,0.00,154.65,47.07
AP4112,202308,AL324,ABZ,RT03,SC01,166,14,41.74,6.09,5.34,0.00,3.10,1.78
AP4113,202308,AL326,ABZ,RT03,SC01,26,0,26.92,0.00,11.54,11.54,11.54,11.54
AP4114,202308,AL008,BHD,RT04,NI01,23,92,0.52,64.50,309.06,0.00,125.50,19.32
AP4115,202308,AL071,BHD,RT04,NI01,139,2,27.62,0.41,111.98,0.00,60.88,27.99
AP4116,202308,AL083,BHD,RT04,NI01,344,20,28.57,5.49,18.41,18.41,18.41,18.41
AP4117,202308,AL115,BHD,RT03,NI01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4118,202308,AL118,BHD,RT03,NI01,417,9,40.16,1.08,67.20,3.12,21.68,11.20
AP4119,202308,AL124,BHD,RT04,NI01,0,6,0.00,100.00,0.00,0.00,0.00,0.00
AP4120,202308,AL125,BHD,RT04,NI01,1316,0,29.85,0.00,313.32,11.97,42.34,24.10
AP4121,202308,AL149,BHD,RT03,NI01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4122,202308,AL155,BHD,RT03,NI01,1,0,0.00,0.00,0.00,0.00,0.00,0.00
AP4123,202308,AL194,BHD,RT03,NI01,98,2,40.00,2.00,10.71,10.71,10.71,10.71
AP4124,202308,AL203,BHD,RT03,NI01,124,0,25.69,0.00,62.46,0.00,32.06,12.49
AP4125,202308,AL206,BHD,RT04,NI01,32,2,26.47,5.88,9.28,9.28,9.28,9.28
